rows,year,value,type
hrtDiseaseAvg,2006,70.85411931818182,Expanded
hrtDiseaseAvg,2007,69.02329545454545,Expanded
hrtDiseaseAvg,2008,67.27251420454546,Expanded
hrtDiseaseAvg,2009,65.86200284090908,Expanded
hrtDiseaseAvg,2010,64.63849431818181,Expanded
hrtDiseaseAvg,2011,63.787073863636365,Expanded
hrtDiseaseAvg,2012,63.310511363636365,Expanded
hrtDiseaseAvg,2013,63.11484375,Expanded
hrtDiseaseAvg,2014,63.30042613636363,Expanded
hrtDiseaseAvg,2015,64.25397727272727,Expanded
hrtDiseaseAvg,2016,64.85504261363636,Expanded
hrtDiseaseAvg,2017,65.18721590909091,Expanded
hrtDiseaseAvg,2018,65.17826704545455,Expanded
hrtDiseaseAvg,2006,80.77665198237885,Did not expand
hrtDiseaseAvg,2007,77.89039647577093,Did not expand
hrtDiseaseAvg,2008,75.70845814977973,Did not expand
hrtDiseaseAvg,2009,74.24863436123348,Did not expand
hrtDiseaseAvg,2010,73.36466960352423,Did not expand
hrtDiseaseAvg,2011,72.75665198237886,Did not expand
hrtDiseaseAvg,2012,72.67700440528634,Did not expand
hrtDiseaseAvg,2013,72.77982378854625,Did not expand
hrtDiseaseAvg,2014,73.08960352422908,Did not expand
hrtDiseaseAvg,2015,73.56246696035242,Did not expand
hrtDiseaseAvg,2016,74.30511013215859,Did not expand
hrtDiseaseAvg,2017,75.04317180616741,Did not expand
hrtDiseaseAvg,2018,75.18387665198237,Did not expand
