year,meanEmploy
2010,76040.00320307494
2011,76857.68994234466
2012,77653.87860345932
2013,78410.53331197951
2014,79232.96476617553
2015,80010.57815502882
2016,80680.41992312619
2017,81468.45643818066
2018,82093.11178731582
